1,pez dorado,arowana
2,pez payaso,killifish
3,pez espada,anchovy
4,pez globo,salmon
5,pez ángel,danio
6,pez gato,danio
7,pez mariposa,killifish
8,pez loro,pleco
9,pez cirujano,platy
10,pez betta,platy
11,pez arcoíris,guppy
12,pez tetra,angel fish
13,pez disco,trout
14,pez cebra,killifish
15,pez neón,gourami
16,pez platy,koi
17,pez molly,rainbow fish
18,pez guppy,gourami
19,pez koi,pufferfish
20,pez ángel emperador,killifish
21,pez ángel francés,guppy
22,pez ángel enano,tetra
23,pez ángel real,swordtail
24,pez ángel reina,gourami
25,pez ángel regal,koi
26,pez ángel imperador,tiburon
27,pez ángel francés,guppy
28,pez ángel enano,danio
29,pez ángel real,angel fish
30,pez ángel reina,mamifero
31,pez ángel regal,koi
32,pez ángel imperador,betta
33,pez ángel francés,rainbow fish
34,pez ángel enano,angel fish
35,pez ángel real,swordtail
36,pez ángel reina,anchovy
37,pez ángel regal,catfish
38,pez ángel imperador,rainbow fish
39,pez ángel francés,koi
40,pez ángel enano,angel fish
41,pez ángel real,pufferfish
42,pez ángel reina,salmon
43,pez ángel regal,koi
44,pez ángel imperador,catfish
45,pez ángel francés,discus
46,pez ángel enano,neon tetra
47,pez ángel real,trout
48,pez ángel reina,pleco
49,pez ángel regal,tetra
50,pez ángel imperador,guppy
